Modelo,Acuracia_Treino,Acuracia_Teste,Gap,F1_Emergencia,Recall_Emergencia,AUC_ROC,tempo_treino,Config_Principal
Naive Bayes,0.5883514313919053,0.6614173228346457,-0.07306589144274045,0.7207792207792207,0.7551020408163265,0.6979464683069491,0.11271142959594727,"{'Modelo': 'GaussianNB', 'threshold': 0.15}"
 K-Nearest Neighbors,0.7305034550839091,0.6771653543307087,0.053338100753200446,0.7484662576687117,0.8299319727891157,0.6721024858541547,0.21680593490600586,"{'K': 15, 'Metrica': 'euclidean'}"
 Árvore de Decisão,0.7620927936821322,0.6338582677165354,0.1282345259655968,0.6759581881533101,0.6598639455782312,0.6719435437726493,0.13396692276000977,"{'profundidade': 4, 'criterio': 'entropy'}"
Random Forest,0.7749259624876604,0.6732283464566929,0.1016976160309675,0.7713498622589532,0.9523809523809523,0.7224871256913981,3.2391769886016846,"{'n_estimators': 200, 'max_depth': 4, 'threshold': 0.28539326018626754}"
SVM,0.7996051332675223,0.7165354330708661,0.08306970019665616,0.788235294117647,0.9115646258503401,0.7593616886006739,1.2141032218933105,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'threshold': 0.3324110144128469}"
